web-scraper-order,web-scraper-start-url,link,link-href,salary,location,skills,load,load-href,name
1571577853-452,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"6 days ago
Data Analyst

Ultimate
Orlando
Full Time


The Data Analyst assists the Medical Economics Manager in providing knowledge to acquire, manage, and analyze data and reports. They support the analytical, Network and in Office staff and projects...
$40,000 - $55,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3S2MT6J915VX606B86?ipath=CRJR24,$48K,Orlando,Mathematics,,,Data Analyst
1571577874-511,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Ingenium Talent
Louisville
Full Time


Our client is seeking a Data Analyst/Specialist to lead data management efforts, developing and implementing process and strategies to provide insights to Operations teams. This position will commu...



Easy Apply",https://www.careerbuilder.com/job/J2Y1B46V2QWBTFRP0Z0?ipath=CRJR14,$69K,Louisville,Data Quality,,,Data Analyst
1571577889-554,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"3 days ago
Oracle Data Analyst

MDI Group
Greenville
Full Time


Administer and maintain the performance of Oracle applications including installation, performance tuning, patching, cloning, backups, system administration and upgrades. Administer support and mai...
$100,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3W3VB73VM5FF40WMRP?ipath=CRJR7,$100K,Greenville,Extract Transform Load (Etl),,,Oracle Data Analyst
1571577889-555,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"3 days ago
Oracle Data Analyst

MDI Group
Greenville
Full Time


Administer and maintain the performance of Oracle applications including installation, performance tuning, patching, cloning, backups, system administration and upgrades. Administer support and mai...
$100,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3W3VB73VM5FF40WMRP?ipath=CRJR7,$100K,Greenville,Recovery Manager (Rman),,,Oracle Data Analyst
1571577868-495,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

TEKsystems, Inc
Rockville
Full Time


TEKsystems has partnered with a non-profit financial organization in search of a Data Analyst. Data Analyst: 1) Experience as a Developer or Data Analyst. Any years of experience will be considered...



Easy Apply",https://www.careerbuilder.com/job/J3Q8765XYKX0RXF2XVB?ipath=CRJR17,$95K,Rockville,Verbal Communication,,,Data Analyst
1571577896-570,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"E


3 days ago
Data Analyst

Eliassen Group
Durham
Contractor


Are you a skilled Data Analyst with exceptional SQL skills? Are you interested in working for a leading healthcare organization? If so, we may have the ideal role for you with our client in Durham!...



Easy Apply",https://www.careerbuilder.com/job/J3W3626LTGJ76FLTSXX?ipath=CRJR4,$85K,Durham,Templates,,,Data Analyst
1571577891-560,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst / Report Writer

MDI Group
Marietta
Contractor


Workbridge Associates is seeking a Data Analyst / Report Writer for our Client in Marietta. In this role, you will be responsible for for contributing to business intelligence solution delivery and...



Easy Apply",https://www.careerbuilder.com/job/J3P6VF6B0CSBN199B6T?ipath=CRJR6,$100K,Marietta,Tableau (Busines Intelligence Software),,,Data Analyst / Report Writer
1571577880-529,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst

Kforce Finance and Accounting
St. Louis
Contractor


Kforce has a client that is seeking a Data Analyst in Saint Louis, Missouri (MO).
Responsibilities:
Work with team members to understand reporting needs
Develop ad hoc reports and tools for...



Easy Apply",https://www.careerbuilder.com/job/J3P3R567S9ZWKSSL1Z5?ipath=CRJR11,$82K,St. Louis,Python (Programming Language),,,Data Analyst
1571577864-481,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

Collabera
Chicago
Contractor


• Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy • Strong data governance and anal...
$40 - $60 / hour


Easy Apply",https://www.careerbuilder.com/job/J3M7026FM3HRHYZ8YLQ?ipath=CRJR19,$50 ,Chicago,Metrics,,,Data Analyst
1571577880-527,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst

Kforce Finance and Accounting
St. Louis
Contractor


Kforce has a client that is seeking a Data Analyst in Saint Louis, Missouri (MO).
Responsibilities:
Work with team members to understand reporting needs
Develop ad hoc reports and tools for...



Easy Apply",https://www.careerbuilder.com/job/J3P3R567S9ZWKSSL1Z5?ipath=CRJR11,$82K,St. Louis,C Sharp (Programming Language),,,Data Analyst
1571577882-538,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"I


1 day ago
Master Data Analyst

Integrated Resources, Inc
Bridgewater Township
Contractor


The Master Data Analyst, Trade Operations, is responsible for tasks related to process and data integrity, and project management related to systems enhancements and reporting. The incumbent shall ...



Easy Apply",https://www.careerbuilder.com/job/J3N4NG675G5KLPPPKMH?ipath=CRJR10,$110K,Bridgewater Township,Human Resources,,,Master Data Analyst
1571577870-501,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"A


6 days ago
Data Analyst - Sales Support

Ascent
San Francisco
Contractor


Seeking a data analyst who enjoys using and analyzing data to inform business decisions and drive sales results. The role is global in scope and requires someone who is able to work in a highly mat...



Easy Apply",https://www.careerbuilder.com/job/J3P01T62918W3WGYLZR?ipath=CRJR16,$110K,San Francisco,Reports,,,Data Analyst - Sales Support
1571577878-521,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst II

Clayton Homes
Maryville
Full Time


We are seeking a skilled Data Analyst to help Clayton answer tough questions with data. The mission for the Data Analytics team is to partner with the business units to provide analyses and tools t...



Easy Apply",https://www.careerbuilder.com/job/J3W3FQ6X50ZHJS0H0DF?ipath=CRJR12,$81K,Maryville,Data Analysis,,,Data Analyst II
1571577874-512,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Ingenium Talent
Louisville
Full Time


Our client is seeking a Data Analyst/Specialist to lead data management efforts, developing and implementing process and strategies to provide insights to Operations teams. This position will commu...



Easy Apply",https://www.careerbuilder.com/job/J2Y1B46V2QWBTFRP0Z0?ipath=CRJR14,$69K,Louisville,Data Warehousing,,,Data Analyst
1571577891-559,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst / Report Writer

MDI Group
Marietta
Contractor


Workbridge Associates is seeking a Data Analyst / Report Writer for our Client in Marietta. In this role, you will be responsible for for contributing to business intelligence solution delivery and...



Easy Apply",https://www.careerbuilder.com/job/J3P6VF6B0CSBN199B6T?ipath=CRJR6,$100K,Marietta,Domo,,,Data Analyst / Report Writer
1571577898-575,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst III

Apex Systems
Menlo Park
Contractor


Do you thrive at the intersection of data, user research and marketing? WhatsApp is looking for someone who has a passion to understand WhatsApp Users, Usage and their perception, by building hypot...



Easy Apply",https://www.careerbuilder.com/job/J3W67H6X0BYN231Y10Y?ipath=CRJR3,$100K,Menlo Park,Dashboard,,,Data Analyst III
1571577882-534,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"I


1 day ago
Master Data Analyst

Integrated Resources, Inc
Bridgewater Township
Contractor


The Master Data Analyst, Trade Operations, is responsible for tasks related to process and data integrity, and project management related to systems enhancements and reporting. The incumbent shall ...



Easy Apply",https://www.careerbuilder.com/job/J3N4NG675G5KLPPPKMH?ipath=CRJR10,$110K,Bridgewater Township,Project Management,,,Master Data Analyst
1571577900-582,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

Robert Half Technology
Cedar Rapids
Full Time


Do you have a passion for Data, if so I have a great full time opportunity in Cedar Rapids, Iowa. They are looking for a Data Analyst to help generate, convert, and migrate data from files for revi...
$50,000 - $70,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3N0Q76388MRPN14P47?ipath=CRJR2,$60K,Cedar Rapids,Sql (Programming Language),,,Data Analyst
1571577866-488,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"7 days ago
Data Analyst II

CoStar Group
San Francisco
Full Time


CoStar Group, the parent company of BizBuySell.com, BizQuest.com and FindaFranchise.com, is looking for a full time Data Analyst to join the Analytics team to research trends, provide insights and ...",https://www.careerbuilder.com/job/J3N6VX68TLKLZ6952SQ?ipath=CRJR18,$120K,San Francisco,Business Intelligence,,,Data Analyst II
1571577860-468,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Kforce Technology
Webster
Contractor


Kforce has a client in search of a Data Analyst in Webster, Texas (TX).
Key Responsibilities:
Mine vast aviation data to develop new insights for growth and performance
Merge and transform ...



Easy Apply",https://www.careerbuilder.com/job/J3W5PS6N5CPJMZGGKK5?ipath=CRJR21,$89K,Webster,Analytic Applications,,,Data Analyst
1571577862-477,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"5 days ago
Junior Data Analyst

LMI
Arlington
Full Time


LMI is currently seeking a Junior Data Analyst in LMI’s Advanced Analytics service line to design and implement business critical data management &amp; analysis. The Junior Data Analyst will work w...",https://www.careerbuilder.com/job/J3T1YL6VLBSS4CJ57GK?ipath=CRJR20,$100K,Arlington,Data Architecture,,,Junior Data Analyst
1571577864-479,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

Collabera
Chicago
Contractor


• Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy • Strong data governance and anal...
$40 - $60 / hour


Easy Apply",https://www.careerbuilder.com/job/J3M7026FM3HRHYZ8YLQ?ipath=CRJR19,$50 ,Chicago,Data Analysis,,,Data Analyst
1571577876-515,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

American Cybersystems, Inc. (ACS Group)
Berkeley
Contractor


Job Description: Compiles, analyzes and formats data to provide documentation that assists internal customers in the development of corrective and preventative actions. Verifies regulatory conforma...



Easy Apply",https://www.careerbuilder.com/job/JCL7BM5WBMCBCR0CWT4?ipath=CRJR13,$82K,Berkeley,Web Pages,,,Data Analyst
1571577885-539,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Accountemps
Minneapolis
Seasonal / Temp


Accountemps is working with a thriving company in the Retail industry to find a skilled Data Analyst. There is a Data Analyst job open for candidates who are interested in becoming a key business p...
$28.77 - $33.31 / hour


Easy Apply",https://www.careerbuilder.com/job/J3N50F6XZG7PRDB3LKB?ipath=CRJR9,$30 ,Minneapolis,Forecasting,,,Data Analyst
1571577862-475,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"5 days ago
Junior Data Analyst

LMI
Arlington
Full Time


LMI is currently seeking a Junior Data Analyst in LMI’s Advanced Analytics service line to design and implement business critical data management &amp; analysis. The Junior Data Analyst will work w...",https://www.careerbuilder.com/job/J3T1YL6VLBSS4CJ57GK?ipath=CRJR20,$100K,Arlington,Dashboard,,,Junior Data Analyst
1571577898-576,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst III

Apex Systems
Menlo Park
Contractor


Do you thrive at the intersection of data, user research and marketing? WhatsApp is looking for someone who has a passion to understand WhatsApp Users, Usage and their perception, by building hypot...



Easy Apply",https://www.careerbuilder.com/job/J3W67H6X0BYN231Y10Y?ipath=CRJR3,$100K,Menlo Park,Data Science,,,Data Analyst III
1571577900-586,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

Robert Half Technology
Cedar Rapids
Full Time


Do you have a passion for Data, if so I have a great full time opportunity in Cedar Rapids, Iowa. They are looking for a Data Analyst to help generate, convert, and migrate data from files for revi...
$50,000 - $70,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3N0Q76388MRPN14P47?ipath=CRJR2,$60K,Cedar Rapids,Data Analysis,,,Data Analyst
1571577849-442,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,Load 25 More Jobs,https://www.careerbuilder.com/jobs?keywords=data+analyst&location=&page_number=2,null,null,,,,null
1571577851-447,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"10 days ago
Lead Data Analyst

Ledgent Technology
Irvine
Full Time


The Lead Data Analyst will conduct complex performance and opportunity assessments to inform decision-making, policy development, system development, and management. This role will partner closely ...
$90,000 - $110,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3N1LV5WHRL7WBFGD68?ipath=CRJR25,$100K,Irvine,Leadership,,,Lead Data Analyst
1571577880-528,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst

Kforce Finance and Accounting
St. Louis
Contractor


Kforce has a client that is seeking a Data Analyst in Saint Louis, Missouri (MO).
Responsibilities:
Work with team members to understand reporting needs
Develop ad hoc reports and tools for...



Easy Apply",https://www.careerbuilder.com/job/J3P3R567S9ZWKSSL1Z5?ipath=CRJR11,$82K,St. Louis,Reports,,,Data Analyst
1571577851-443,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"10 days ago
Lead Data Analyst

Ledgent Technology
Irvine
Full Time


The Lead Data Analyst will conduct complex performance and opportunity assessments to inform decision-making, policy development, system development, and management. This role will partner closely ...
$90,000 - $110,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3N1LV5WHRL7WBFGD68?ipath=CRJR25,$100K,Irvine,Financial Analysis,,,Lead Data Analyst
1571577855-457,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"9 days ago
Data Analyst

System One
Denver
Contractor


System One is currently seeking a Data Analyst on a 6 month contract position for a major utility located in Denver, CO. Data Analyst Responsibilities: Responsible for analyzing data from SAP, Smal...
$41.25 - $57.25 / hour


Easy Apply",https://www.careerbuilder.com/job/J3T5KN6MFHZHFZ58L68?ipath=CRJR23,$49 ,Denver,Asset Management,,,Data Analyst
1571577862-478,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"5 days ago
Junior Data Analyst

LMI
Arlington
Full Time


LMI is currently seeking a Junior Data Analyst in LMI’s Advanced Analytics service line to design and implement business critical data management &amp; analysis. The Junior Data Analyst will work w...",https://www.careerbuilder.com/job/J3T1YL6VLBSS4CJ57GK?ipath=CRJR20,$100K,Arlington,Data Warehousing,,,Junior Data Analyst
1571577870-499,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"A


6 days ago
Data Analyst - Sales Support

Ascent
San Francisco
Contractor


Seeking a data analyst who enjoys using and analyzing data to inform business decisions and drive sales results. The role is global in scope and requires someone who is able to work in a highly mat...



Easy Apply",https://www.careerbuilder.com/job/J3P01T62918W3WGYLZR?ipath=CRJR16,$110K,San Francisco,Data Analysis,,,Data Analyst - Sales Support
1571577870-500,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"A


6 days ago
Data Analyst - Sales Support

Ascent
San Francisco
Contractor


Seeking a data analyst who enjoys using and analyzing data to inform business decisions and drive sales results. The role is global in scope and requires someone who is able to work in a highly mat...



Easy Apply",https://www.careerbuilder.com/job/J3P01T62918W3WGYLZR?ipath=CRJR16,$110K,San Francisco,Timelines,,,Data Analyst - Sales Support
1571577860-471,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Kforce Technology
Webster
Contractor


Kforce has a client in search of a Data Analyst in Webster, Texas (TX).
Key Responsibilities:
Mine vast aviation data to develop new insights for growth and performance
Merge and transform ...



Easy Apply",https://www.careerbuilder.com/job/J3W5PS6N5CPJMZGGKK5?ipath=CRJR21,$89K,Webster,Customer Relationship Management,,,Data Analyst
1571577885-543,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Accountemps
Minneapolis
Seasonal / Temp


Accountemps is working with a thriving company in the Retail industry to find a skilled Data Analyst. There is a Data Analyst job open for candidates who are interested in becoming a key business p...
$28.77 - $33.31 / hour


Easy Apply",https://www.careerbuilder.com/job/J3N50F6XZG7PRDB3LKB?ipath=CRJR9,$30 ,Minneapolis,Derivatives,,,Data Analyst
1571577862-474,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"5 days ago
Junior Data Analyst

LMI
Arlington
Full Time


LMI is currently seeking a Junior Data Analyst in LMI’s Advanced Analytics service line to design and implement business critical data management &amp; analysis. The Junior Data Analyst will work w...",https://www.careerbuilder.com/job/J3T1YL6VLBSS4CJ57GK?ipath=CRJR20,$100K,Arlington,Predictive Analytics,,,Junior Data Analyst
1571577880-530,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst

Kforce Finance and Accounting
St. Louis
Contractor


Kforce has a client that is seeking a Data Analyst in Saint Louis, Missouri (MO).
Responsibilities:
Work with team members to understand reporting needs
Develop ad hoc reports and tools for...



Easy Apply",https://www.careerbuilder.com/job/J3P3R567S9ZWKSSL1Z5?ipath=CRJR11,$82K,St. Louis,Sas (Software),,,Data Analyst
1571577864-484,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

Collabera
Chicago
Contractor


• Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy • Strong data governance and anal...
$40 - $60 / hour


Easy Apply",https://www.careerbuilder.com/job/J3M7026FM3HRHYZ8YLQ?ipath=CRJR19,$50 ,Chicago,Analytical,,,Data Analyst
1571577893-567,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst

Kelly IT Resources
Sacramento
Full Time


Kelly IT has an opening for a temp to hire or Direct Hire Data Analyst to work with our client in Sacramento, CA.
SUMMARY
In the role, you will work cross-functionally with product, marketi...



Easy Apply",https://www.careerbuilder.com/job/J3T7K85VJDHZD857GPB?ipath=CRJR5,$89K,Sacramento,Data Analysis,,,Data Analyst
1571577876-516,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

American Cybersystems, Inc. (ACS Group)
Berkeley
Contractor


Job Description: Compiles, analyzes and formats data to provide documentation that assists internal customers in the development of corrective and preventative actions. Verifies regulatory conforma...



Easy Apply",https://www.careerbuilder.com/job/JCL7BM5WBMCBCR0CWT4?ipath=CRJR13,$82K,Berkeley,Quality Management,,,Data Analyst
1571577853-450,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"6 days ago
Data Analyst

Ultimate
Orlando
Full Time


The Data Analyst assists the Medical Economics Manager in providing knowledge to acquire, manage, and analyze data and reports. They support the analytical, Network and in Office staff and projects...
$40,000 - $55,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3S2MT6J915VX606B86?ipath=CRJR24,$48K,Orlando,Data Management,,,Data Analyst
1571577885-540,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Accountemps
Minneapolis
Seasonal / Temp


Accountemps is working with a thriving company in the Retail industry to find a skilled Data Analyst. There is a Data Analyst job open for candidates who are interested in becoming a key business p...
$28.77 - $33.31 / hour


Easy Apply",https://www.careerbuilder.com/job/J3N50F6XZG7PRDB3LKB?ipath=CRJR9,$30 ,Minneapolis,Investments,,,Data Analyst
1571577887-546,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"3 days ago
Data Analyst

Fast Switch, Ltd.
Brea
Contractor


Data Analyst . We are currently seeking a Data Analyst with 3+ years of experience to help a team in Brea, CA. Required Skills: Data Profiling Data Analysis Data Mapping Strong SQL Source-Target Da...



Easy Apply",https://www.careerbuilder.com/job/J3M4WF6M6WNPY41D51N?ipath=CRJR8,$85K,Brea,Data Mapping,,,Data Analyst
1571577851-445,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"10 days ago
Lead Data Analyst

Ledgent Technology
Irvine
Full Time


The Lead Data Analyst will conduct complex performance and opportunity assessments to inform decision-making, policy development, system development, and management. This role will partner closely ...
$90,000 - $110,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3N1LV5WHRL7WBFGD68?ipath=CRJR25,$100K,Irvine,Forecasting,,,Lead Data Analyst
1571577893-568,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst

Kelly IT Resources
Sacramento
Full Time


Kelly IT has an opening for a temp to hire or Direct Hire Data Analyst to work with our client in Sacramento, CA.
SUMMARY
In the role, you will work cross-functionally with product, marketi...



Easy Apply",https://www.careerbuilder.com/job/J3T7K85VJDHZD857GPB?ipath=CRJR5,$89K,Sacramento,Mailchimp,,,Data Analyst
1571577866-485,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"7 days ago
Data Analyst II

CoStar Group
San Francisco
Full Time


CoStar Group, the parent company of BizBuySell.com, BizQuest.com and FindaFranchise.com, is looking for a full time Data Analyst to join the Analytics team to research trends, provide insights and ...",https://www.careerbuilder.com/job/J3N6VX68TLKLZ6952SQ?ipath=CRJR18,$120K,San Francisco,Dashboard,,,Data Analyst II
