web-scraper-order,web-scraper-start-url,link,link-href,salary,location,skills,load,load-href,name
1571577893-566,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst

Kelly IT Resources
Sacramento
Full Time


Kelly IT has an opening for a temp to hire or Direct Hire Data Analyst to work with our client in Sacramento, CA.
SUMMARY
In the role, you will work cross-functionally with product, marketi...



Easy Apply",https://www.careerbuilder.com/job/J3T7K85VJDHZD857GPB?ipath=CRJR5,$89K,Sacramento,Reports,,,Data Analyst
1571577868-493,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

TEKsystems, Inc
Rockville
Full Time


TEKsystems has partnered with a non-profit financial organization in search of a Data Analyst. Data Analyst: 1) Experience as a Developer or Data Analyst. Any years of experience will be considered...



Easy Apply",https://www.careerbuilder.com/job/J3Q8765XYKX0RXF2XVB?ipath=CRJR17,$95K,Rockville,Business Requirements,,,Data Analyst
1571577876-519,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

American Cybersystems, Inc. (ACS Group)
Berkeley
Contractor


Job Description: Compiles, analyzes and formats data to provide documentation that assists internal customers in the development of corrective and preventative actions. Verifies regulatory conforma...



Easy Apply",https://www.careerbuilder.com/job/JCL7BM5WBMCBCR0CWT4?ipath=CRJR13,$82K,Berkeley,Engineering,,,Data Analyst
1571577872-504,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"13 days ago
DATA ANALYST

The Select Group
Cupertino
Contractor


3+ years of professional experience as a data analyst, business analyst, or similar Experience with ad hoc data analysis (looking for key trends and insights, accessing and manipulating data, etc… ...



Easy Apply",https://www.careerbuilder.com/job/J3S4BR61JKGMCXQZ88C?ipath=CRJR15,$97K,Cupertino,Dashboard,,,DATA ANALYST
1571577882-537,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"I


1 day ago
Master Data Analyst

Integrated Resources, Inc
Bridgewater Township
Contractor


The Master Data Analyst, Trade Operations, is responsible for tasks related to process and data integrity, and project management related to systems enhancements and reporting. The incumbent shall ...



Easy Apply",https://www.careerbuilder.com/job/J3N4NG675G5KLPPPKMH?ipath=CRJR10,$110K,Bridgewater Township,Leadership,,,Master Data Analyst
1571577889-553,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"3 days ago
Oracle Data Analyst

MDI Group
Greenville
Full Time


Administer and maintain the performance of Oracle applications including installation, performance tuning, patching, cloning, backups, system administration and upgrades. Administer support and mai...
$100,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3W3VB73VM5FF40WMRP?ipath=CRJR7,$100K,Greenville,Performance Tuning,,,Oracle Data Analyst
1571577866-489,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"7 days ago
Data Analyst II

CoStar Group
San Francisco
Full Time


CoStar Group, the parent company of BizBuySell.com, BizQuest.com and FindaFranchise.com, is looking for a full time Data Analyst to join the Analytics team to research trends, provide insights and ...",https://www.careerbuilder.com/job/J3N6VX68TLKLZ6952SQ?ipath=CRJR18,$120K,San Francisco,Business Intelligence Tools,,,Data Analyst II
1571577870-497,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"A


6 days ago
Data Analyst - Sales Support

Ascent
San Francisco
Contractor


Seeking a data analyst who enjoys using and analyzing data to inform business decisions and drive sales results. The role is global in scope and requires someone who is able to work in a highly mat...



Easy Apply",https://www.careerbuilder.com/job/J3P01T62918W3WGYLZR?ipath=CRJR16,$110K,San Francisco,Analysis,,,Data Analyst - Sales Support
1571577880-532,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst

Kforce Finance and Accounting
St. Louis
Contractor


Kforce has a client that is seeking a Data Analyst in Saint Louis, Missouri (MO).
Responsibilities:
Work with team members to understand reporting needs
Develop ad hoc reports and tools for...



Easy Apply",https://www.careerbuilder.com/job/J3P3R567S9ZWKSSL1Z5?ipath=CRJR11,$82K,St. Louis,Data Processing,,,Data Analyst
1571577891-558,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst / Report Writer

MDI Group
Marietta
Contractor


Workbridge Associates is seeking a Data Analyst / Report Writer for our Client in Marietta. In this role, you will be responsible for for contributing to business intelligence solution delivery and...



Easy Apply",https://www.careerbuilder.com/job/J3P6VF6B0CSBN199B6T?ipath=CRJR6,$100K,Marietta,Business Intelligence,,,Data Analyst / Report Writer
1571577880-531,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst

Kforce Finance and Accounting
St. Louis
Contractor


Kforce has a client that is seeking a Data Analyst in Saint Louis, Missouri (MO).
Responsibilities:
Work with team members to understand reporting needs
Develop ad hoc reports and tools for...



Easy Apply",https://www.careerbuilder.com/job/J3P3R567S9ZWKSSL1Z5?ipath=CRJR11,$82K,St. Louis,Object Oriented Programming,,,Data Analyst
1571577855-456,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"9 days ago
Data Analyst

System One
Denver
Contractor


System One is currently seeking a Data Analyst on a 6 month contract position for a major utility located in Denver, CO. Data Analyst Responsibilities: Responsible for analyzing data from SAP, Smal...
$41.25 - $57.25 / hour


Easy Apply",https://www.careerbuilder.com/job/J3T5KN6MFHZHFZ58L68?ipath=CRJR23,$49 ,Denver,Geographic Information Systems,,,Data Analyst
1571577866-490,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"7 days ago
Data Analyst II

CoStar Group
San Francisco
Full Time


CoStar Group, the parent company of BizBuySell.com, BizQuest.com and FindaFranchise.com, is looking for a full time Data Analyst to join the Analytics team to research trends, provide insights and ...",https://www.careerbuilder.com/job/J3N6VX68TLKLZ6952SQ?ipath=CRJR18,$120K,San Francisco,Google Tag Manager,,,Data Analyst II
1571577898-578,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst III

Apex Systems
Menlo Park
Contractor


Do you thrive at the intersection of data, user research and marketing? WhatsApp is looking for someone who has a passion to understand WhatsApp Users, Usage and their perception, by building hypot...



Easy Apply",https://www.careerbuilder.com/job/J3W67H6X0BYN231Y10Y?ipath=CRJR3,$100K,Menlo Park,Statistics,,,Data Analyst III
1571577885-541,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Accountemps
Minneapolis
Seasonal / Temp


Accountemps is working with a thriving company in the Retail industry to find a skilled Data Analyst. There is a Data Analyst job open for candidates who are interested in becoming a key business p...
$28.77 - $33.31 / hour


Easy Apply",https://www.careerbuilder.com/job/J3N50F6XZG7PRDB3LKB?ipath=CRJR9,$30 ,Minneapolis,Financial Modeling,,,Data Analyst
1571577885-542,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Accountemps
Minneapolis
Seasonal / Temp


Accountemps is working with a thriving company in the Retail industry to find a skilled Data Analyst. There is a Data Analyst job open for candidates who are interested in becoming a key business p...
$28.77 - $33.31 / hour


Easy Apply",https://www.careerbuilder.com/job/J3N50F6XZG7PRDB3LKB?ipath=CRJR9,$30 ,Minneapolis,Financial Planning,,,Data Analyst
1571577874-514,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Ingenium Talent
Louisville
Full Time


Our client is seeking a Data Analyst/Specialist to lead data management efforts, developing and implementing process and strategies to provide insights to Operations teams. This position will commu...



Easy Apply",https://www.careerbuilder.com/job/J2Y1B46V2QWBTFRP0Z0?ipath=CRJR14,$69K,Louisville,Self Motivation,,,Data Analyst
1571577853-454,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"6 days ago
Data Analyst

Ultimate
Orlando
Full Time


The Data Analyst assists the Medical Economics Manager in providing knowledge to acquire, manage, and analyze data and reports. They support the analytical, Network and in Office staff and projects...
$40,000 - $55,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3S2MT6J915VX606B86?ipath=CRJR24,$48K,Orlando,Spanish Language,,,Data Analyst
1571577900-581,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

Robert Half Technology
Cedar Rapids
Full Time


Do you have a passion for Data, if so I have a great full time opportunity in Cedar Rapids, Iowa. They are looking for a Data Analyst to help generate, convert, and migrate data from files for revi...
$50,000 - $70,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3N0Q76388MRPN14P47?ipath=CRJR2,$60K,Cedar Rapids,Microsoft Excel,,,Data Analyst
1571577896-574,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"E


3 days ago
Data Analyst

Eliassen Group
Durham
Contractor


Are you a skilled Data Analyst with exceptional SQL skills? Are you interested in working for a leading healthcare organization? If so, we may have the ideal role for you with our client in Durham!...



Easy Apply",https://www.careerbuilder.com/job/J3W3626LTGJ76FLTSXX?ipath=CRJR4,$85K,Durham,Reports,,,Data Analyst
1571577898-580,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst III

Apex Systems
Menlo Park
Contractor


Do you thrive at the intersection of data, user research and marketing? WhatsApp is looking for someone who has a passion to understand WhatsApp Users, Usage and their perception, by building hypot...



Easy Apply",https://www.careerbuilder.com/job/J3W67H6X0BYN231Y10Y?ipath=CRJR3,$100K,Menlo Park,Extract Transform Load (Etl),,,Data Analyst III
1571577864-480,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

Collabera
Chicago
Contractor


• Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy • Strong data governance and anal...
$40 - $60 / hour


Easy Apply",https://www.careerbuilder.com/job/J3M7026FM3HRHYZ8YLQ?ipath=CRJR19,$50 ,Chicago,Decision Making,,,Data Analyst
1571577857-461,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"5 days ago
Data Analyst / Intern

Kforce Technology
Phoenix
Contractor


Kforce has a client in search of a Data Analyst/Intern in Phoenix, Arizona (AZ).
Summary:
The Data Analyst (Intern) will be responsible for the development of analytical infrastructure and comp...



Easy Apply",https://www.careerbuilder.com/job/J3S4HY6P8XHFF6LV883?ipath=CRJR22,$77K,Phoenix,Data Analysis,,,Data Analyst / Intern
1571577857-463,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"5 days ago
Data Analyst / Intern

Kforce Technology
Phoenix
Contractor


Kforce has a client in search of a Data Analyst/Intern in Phoenix, Arizona (AZ).
Summary:
The Data Analyst (Intern) will be responsible for the development of analytical infrastructure and comp...



Easy Apply",https://www.careerbuilder.com/job/J3S4HY6P8XHFF6LV883?ipath=CRJR22,$77K,Phoenix,Apache Hive,,,Data Analyst / Intern
1571577855-455,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"9 days ago
Data Analyst

System One
Denver
Contractor


System One is currently seeking a Data Analyst on a 6 month contract position for a major utility located in Denver, CO. Data Analyst Responsibilities: Responsible for analyzing data from SAP, Smal...
$41.25 - $57.25 / hour


Easy Apply",https://www.careerbuilder.com/job/J3T5KN6MFHZHFZ58L68?ipath=CRJR23,$49 ,Denver,Analysis,,,Data Analyst
1571577855-458,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"9 days ago
Data Analyst

System One
Denver
Contractor


System One is currently seeking a Data Analyst on a 6 month contract position for a major utility located in Denver, CO. Data Analyst Responsibilities: Responsible for analyzing data from SAP, Smal...
$41.25 - $57.25 / hour


Easy Apply",https://www.careerbuilder.com/job/J3T5KN6MFHZHFZ58L68?ipath=CRJR23,$49 ,Denver,Data Analysis,,,Data Analyst
1571577874-509,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Ingenium Talent
Louisville
Full Time


Our client is seeking a Data Analyst/Specialist to lead data management efforts, developing and implementing process and strategies to provide insights to Operations teams. This position will commu...



Easy Apply",https://www.careerbuilder.com/job/J2Y1B46V2QWBTFRP0Z0?ipath=CRJR14,$69K,Louisville,Data Analysis,,,Data Analyst
1571577896-571,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"E


3 days ago
Data Analyst

Eliassen Group
Durham
Contractor


Are you a skilled Data Analyst with exceptional SQL skills? Are you interested in working for a leading healthcare organization? If so, we may have the ideal role for you with our client in Durham!...



Easy Apply",https://www.careerbuilder.com/job/J3W3626LTGJ76FLTSXX?ipath=CRJR4,$85K,Durham,Data Mining,,,Data Analyst
1571577868-492,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

TEKsystems, Inc
Rockville
Full Time


TEKsystems has partnered with a non-profit financial organization in search of a Data Analyst. Data Analyst: 1) Experience as a Developer or Data Analyst. Any years of experience will be considered...



Easy Apply",https://www.careerbuilder.com/job/J3Q8765XYKX0RXF2XVB?ipath=CRJR17,$95K,Rockville,Amazon Web Services,,,Data Analyst
1571577855-460,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"9 days ago
Data Analyst

System One
Denver
Contractor


System One is currently seeking a Data Analyst on a 6 month contract position for a major utility located in Denver, CO. Data Analyst Responsibilities: Responsible for analyzing data from SAP, Smal...
$41.25 - $57.25 / hour


Easy Apply",https://www.careerbuilder.com/job/J3T5KN6MFHZHFZ58L68?ipath=CRJR23,$49 ,Denver,Visual Basic (Programming Language),,,Data Analyst
1571577891-562,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst / Report Writer

MDI Group
Marietta
Contractor


Workbridge Associates is seeking a Data Analyst / Report Writer for our Client in Marietta. In this role, you will be responsible for for contributing to business intelligence solution delivery and...



Easy Apply",https://www.careerbuilder.com/job/J3P6VF6B0CSBN199B6T?ipath=CRJR6,$100K,Marietta,Scripting,,,Data Analyst / Report Writer
1571577876-517,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

American Cybersystems, Inc. (ACS Group)
Berkeley
Contractor


Job Description: Compiles, analyzes and formats data to provide documentation that assists internal customers in the development of corrective and preventative actions. Verifies regulatory conforma...



Easy Apply",https://www.careerbuilder.com/job/JCL7BM5WBMCBCR0CWT4?ipath=CRJR13,$82K,Berkeley,Documentation,,,Data Analyst
1571577872-506,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"13 days ago
DATA ANALYST

The Select Group
Cupertino
Contractor


3+ years of professional experience as a data analyst, business analyst, or similar Experience with ad hoc data analysis (looking for key trends and insights, accessing and manipulating data, etc… ...



Easy Apply",https://www.careerbuilder.com/job/J3S4BR61JKGMCXQZ88C?ipath=CRJR15,$97K,Cupertino,Acceptance Testing,,,DATA ANALYST
1571577900-585,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

Robert Half Technology
Cedar Rapids
Full Time


Do you have a passion for Data, if so I have a great full time opportunity in Cedar Rapids, Iowa. They are looking for a Data Analyst to help generate, convert, and migrate data from files for revi...
$50,000 - $70,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3N0Q76388MRPN14P47?ipath=CRJR2,$60K,Cedar Rapids,Passionate,,,Data Analyst
1571577851-444,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"10 days ago
Lead Data Analyst

Ledgent Technology
Irvine
Full Time


The Lead Data Analyst will conduct complex performance and opportunity assessments to inform decision-making, policy development, system development, and management. This role will partner closely ...
$90,000 - $110,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3N1LV5WHRL7WBFGD68?ipath=CRJR25,$100K,Irvine,Financial Modeling,,,Lead Data Analyst
1571577874-513,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Ingenium Talent
Louisville
Full Time


Our client is seeking a Data Analyst/Specialist to lead data management efforts, developing and implementing process and strategies to provide insights to Operations teams. This position will commu...



Easy Apply",https://www.careerbuilder.com/job/J2Y1B46V2QWBTFRP0Z0?ipath=CRJR14,$69K,Louisville,Data Management,,,Data Analyst
1571577872-503,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"13 days ago
DATA ANALYST

The Select Group
Cupertino
Contractor


3+ years of professional experience as a data analyst, business analyst, or similar Experience with ad hoc data analysis (looking for key trends and insights, accessing and manipulating data, etc… ...



Easy Apply",https://www.careerbuilder.com/job/J3S4BR61JKGMCXQZ88C?ipath=CRJR15,$97K,Cupertino,Reporting Tools,,,DATA ANALYST
1571577882-533,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"I


1 day ago
Master Data Analyst

Integrated Resources, Inc
Bridgewater Township
Contractor


The Master Data Analyst, Trade Operations, is responsible for tasks related to process and data integrity, and project management related to systems enhancements and reporting. The incumbent shall ...



Easy Apply",https://www.careerbuilder.com/job/J3N4NG675G5KLPPPKMH?ipath=CRJR10,$110K,Bridgewater Township,Drug Enforcement Agency,,,Master Data Analyst
1571577891-557,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst / Report Writer

MDI Group
Marietta
Contractor


Workbridge Associates is seeking a Data Analyst / Report Writer for our Client in Marietta. In this role, you will be responsible for for contributing to business intelligence solution delivery and...



Easy Apply",https://www.careerbuilder.com/job/J3P6VF6B0CSBN199B6T?ipath=CRJR6,$100K,Marietta,Dashboard,,,Data Analyst / Report Writer
1571577896-572,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"E


3 days ago
Data Analyst

Eliassen Group
Durham
Contractor


Are you a skilled Data Analyst with exceptional SQL skills? Are you interested in working for a leading healthcare organization? If so, we may have the ideal role for you with our client in Durham!...



Easy Apply",https://www.careerbuilder.com/job/J3W3626LTGJ76FLTSXX?ipath=CRJR4,$85K,Durham,Forecasting,,,Data Analyst
1571577898-579,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst III

Apex Systems
Menlo Park
Contractor


Do you thrive at the intersection of data, user research and marketing? WhatsApp is looking for someone who has a passion to understand WhatsApp Users, Usage and their perception, by building hypot...



Easy Apply",https://www.careerbuilder.com/job/J3W67H6X0BYN231Y10Y?ipath=CRJR3,$100K,Menlo Park,Tableau (Busines Intelligence Software),,,Data Analyst III
1571577868-494,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

TEKsystems, Inc
Rockville
Full Time


TEKsystems has partnered with a non-profit financial organization in search of a Data Analyst. Data Analyst: 1) Experience as a Developer or Data Analyst. Any years of experience will be considered...



Easy Apply",https://www.careerbuilder.com/job/J3Q8765XYKX0RXF2XVB?ipath=CRJR17,$95K,Rockville,Acceptance Testing,,,Data Analyst
1571577872-507,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"13 days ago
DATA ANALYST

The Select Group
Cupertino
Contractor


3+ years of professional experience as a data analyst, business analyst, or similar Experience with ad hoc data analysis (looking for key trends and insights, accessing and manipulating data, etc… ...



Easy Apply",https://www.careerbuilder.com/job/J3S4BR61JKGMCXQZ88C?ipath=CRJR15,$97K,Cupertino,Python (Programming Language),,,DATA ANALYST
1571577868-496,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

TEKsystems, Inc
Rockville
Full Time


TEKsystems has partnered with a non-profit financial organization in search of a Data Analyst. Data Analyst: 1) Experience as a Developer or Data Analyst. Any years of experience will be considered...



Easy Apply",https://www.careerbuilder.com/job/J3Q8765XYKX0RXF2XVB?ipath=CRJR17,$95K,Rockville,Business Process,,,Data Analyst
1571577870-498,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"A


6 days ago
Data Analyst - Sales Support

Ascent
San Francisco
Contractor


Seeking a data analyst who enjoys using and analyzing data to inform business decisions and drive sales results. The role is global in scope and requires someone who is able to work in a highly mat...



Easy Apply",https://www.careerbuilder.com/job/J3P01T62918W3WGYLZR?ipath=CRJR16,$110K,San Francisco,Pipeline Reporting,,,Data Analyst - Sales Support
1571577898-577,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"1 day ago
Data Analyst III

Apex Systems
Menlo Park
Contractor


Do you thrive at the intersection of data, user research and marketing? WhatsApp is looking for someone who has a passion to understand WhatsApp Users, Usage and their perception, by building hypot...



Easy Apply",https://www.careerbuilder.com/job/J3W67H6X0BYN231Y10Y?ipath=CRJR3,$100K,Menlo Park,Design Of Experiments,,,Data Analyst III
1571577866-487,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"7 days ago
Data Analyst II

CoStar Group
San Francisco
Full Time


CoStar Group, the parent company of BizBuySell.com, BizQuest.com and FindaFranchise.com, is looking for a full time Data Analyst to join the Analytics team to research trends, provide insights and ...",https://www.careerbuilder.com/job/J3N6VX68TLKLZ6952SQ?ipath=CRJR18,$120K,San Francisco,Tableau (Busines Intelligence Software),,,Data Analyst II
1571577891-561,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst / Report Writer

MDI Group
Marietta
Contractor


Workbridge Associates is seeking a Data Analyst / Report Writer for our Client in Marietta. In this role, you will be responsible for for contributing to business intelligence solution delivery and...



Easy Apply",https://www.careerbuilder.com/job/J3P6VF6B0CSBN199B6T?ipath=CRJR6,$100K,Marietta,Solution Delivery,,,Data Analyst / Report Writer
1571577876-518,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

American Cybersystems, Inc. (ACS Group)
Berkeley
Contractor


Job Description: Compiles, analyzes and formats data to provide documentation that assists internal customers in the development of corrective and preventative actions. Verifies regulatory conforma...



Easy Apply",https://www.careerbuilder.com/job/JCL7BM5WBMCBCR0CWT4?ipath=CRJR13,$82K,Berkeley,Collections,,,Data Analyst
